Year,Area,Country area,Forest land,Land area,Naturally regenerating forest,Planted Forest,Share of forests in Land area,Share of naturally regenerating forest,Share of planted forests,Carbon stock in Living Biomass,C02 removal from forest land,Net Forest conversion,Tree covered areas MODIS
2018,Peru,128522.0,72676.04,128000.0,71600.04,1076.0,56.78,98.52,1.48,10280.7526,-3246.9785,92892.6325,78985.62
2018,South America,1780437.2,848555.33,1746172.2,829229.19,19326.14,48.6,97.72,2.28,96675.4009,-362324.9293,1085941.5365,1105002.47
2018,Suriname,16382.0,15220.78,15600.0,15206.63,14.15,97.57,99.91,0.09,3212.9545,0.0,8572.7871,13960.73
2018,Uruguay,17622.0,1989.0,17502.0,849.0,1140.0,11.36,42.68,57.32,117.351,-1905.2,0.0,6983.97
2018,Venezuela,91205.0,46337.76,88205.0,44981.43,1356.33,52.53,97.07,2.93,5518.3638,957.7691,39891.3821,67846.26
2019,Argentina,278040.0,28681.0,273669.0,27276.0,1405.0,10.48,95.1,4.9,3186.7459,-27952.2907,54702.45,61656.88
2019,Bolivia,109858.0,51033.76,108330.0,50971.16,62.6,47.11,99.88,0.12,3929.0892,-318.9952,67700.9512,71250.4
2019,Brazil,851577.0,497798.5,835814.0,486935.0,10863.5,59.56,97.82,2.18,52059.7671,-269412.8448,653402.772,595226.86
2019,Chile,75670.0,18087.8,74353.2,14935.25,3152.55,24.33,82.57,17.43,2380.1736,-58269.1025,0.0,27418.94
2019,Colombia,114175.0,59341.2,110950.0,58913.8,427.4,53.48,99.28,0.72,6697.8412,-281.4225,82452.6637,100109.96
2019,Ecuador,25637.0,12562.1,24836.0,12447.91,114.19,50.58,99.09,0.91,1388.2377,0.0,26042.4182,21615.84
2019,French Guiana,8360.0,8006.28,8281.0,8005.48,0.8,96.68,99.99,0.01,1703.3361,-15.6017,2691.2875,8165.39
2019,Guyana,21497.0,18424.54,19685.0,18424.54,0.0,93.6,100.0,0.0,5319.9017,0.0,9744.3975,19402.01
2019,Paraguay,40675.2,16381.6,39730.0,16237.37,144.23,41.23,99.12,0.88,735.2062,-1880.2626,47847.7947,33414.73
2019,Peru,128522.0,72503.2,128000.0,71420.97,1082.23,56.64,98.51,1.49,10256.3027,-3246.9785,92892.6325,79064.88
2019,South America,1780437.2,846310.51,1746172.2,826525.62,19784.89,48.47,97.66,2.34,96495.6297,-362324.9293,1085941.5365,1106183.69
2019,Suriname,16382.0,15208.53,15600.0,15194.38,14.15,97.49,99.91,0.09,3210.3686,0.0,8572.7871,13961.67
2019,Uruguay,17622.0,2010.0,17502.0,849.0,1161.0,11.48,42.24,57.76,118.59,-1905.2,0.0,6975.33
2019,Venezuela,91205.0,46272.0,88205.0,44914.76,1357.24,52.46,97.07,2.93,5510.0698,957.7691,39891.3821,67455.44
2020,Argentina,278040.0,28573.0,273669.0,27137.0,1436.0,10.44,94.97,5.03,3179.032,-27952.2907,54702.45,60587.02
2020,Bolivia,109858.0,50833.76,108330.0,50771.16,62.6,46.92,99.88,0.12,3913.6912,-318.9952,67700.9512,71132.67
2020,Brazil,851577.0,496619.6,835814.0,485396.0,11223.6,59.42,97.74,2.26,51981.1735,-269412.8448,653402.772,599503.45
2020,Chile,75670.0,18210.7,74353.2,15026.0,3184.7,24.49,82.51,17.49,2395.9818,-58269.1025,0.0,27178.14
2020,Colombia,114061.905,59141.91,110950.0,58714.51,427.4,53.31,99.28,0.72,6675.3474,-281.4225,82452.6637,99980.26
2020,Ecuador,25637.0,12497.83,24836.0,12386.82,111.01,50.32,99.11,0.89,1381.1352,0.0,26042.4182,21471.43
2020,French Guiana,8360.0,8002.85,8281.0,8002.05,0.8,96.64,99.99,0.01,1702.6063,-15.6017,2691.2875,8166.99
2020,Guyana,21497.0,18415.34,19685.0,18415.34,0.0,93.55,100.0,0.0,5317.2453,0.0,9744.3975,19398.51
2020,Paraguay,40675.2,16102.26,39730.0,15946.6,155.66,40.53,99.03,0.97,722.6694,-1880.2626,47847.7947,33019.4
2020,Peru,128522.0,72330.37,128000.0,71241.9,1088.47,56.51,98.5,1.5,10231.8541,-3246.9785,92892.6325,78976.98
2020,South America,1780324.105,844185.81,1746172.2,823941.27,20244.54,48.34,97.6,2.4,96331.4947,-362324.9293,1085941.5365,1106844.6
2020,Suriname,16382.0,15196.29,15600.0,15182.14,14.15,97.41,99.91,0.09,3207.7849,0.0,8572.7871,13962.01
2020,Uruguay,17622.0,2031.0,17502.0,849.0,1182.0,11.6,41.8,58.2,117.798,-1905.2,0.0,6217.04
2020,Venezuela,91205.0,46230.9,88205.0,44872.75,1358.15,52.41,97.06,2.94,5505.1756,957.7691,39891.3821,66789.49
2021,Argentina,278040.0,28463.6667,273669.0,26997.3333,1466.3333,10.4,94.85,5.15,3171.3836,-27952.2907,54702.45,59928.06
2021,Bolivia,109858.0,50620.7733,108330.0,50558.1733,62.6,46.73,99.88,0.12,3897.2933,-318.9952,67700.9512,70932.23
2021,Brazil,851577.0,495391.3667,835814.0,483807.6,11583.7667,59.27,97.66,2.34,51894.2395,-269412.8448,653402.772,595075.56
2021,Chile,75670.0,18333.62,74353.2,15116.7633,3216.8567,24.66,82.45,17.55,2411.5564,-58269.1025,0.0,27522.87
2021,Colombia,114061.905,58942.6267,110950.0,58515.2267,427.4,53.13,99.27,0.73,6652.8543,-281.4225,82452.6637,100169.67
2021,Ecuador,25637.0,12433.56,24836.0,12325.7233,107.8367,50.06,99.13,0.87,1374.0327,0.0,26042.4182,21276.67
2021,French Guiana,8360.0,7999.42,8281.0,7998.62,0.8,96.6,99.99,0.01,1701.8766,-15.6017,2691.2875,8168.37
2021,Guyana,21497.0,18406.1333,19685.0,18406.1333,0.0,93.5,100.0,0.0,5314.5869,0.0,9744.3975,19416.22
2021,Paraguay,40675.2,15822.9267,39730.0,15655.8433,167.0833,39.83,98.94,1.06,710.1329,-1880.2626,47847.7947,32219.24
2021,Peru,128522.0,72157.5333,128000.0,71062.83,1094.7033,56.37,98.48,1.52,10207.4047,-3246.9785,92892.6325,78981.79
2021,South America,1780324.105,841981.03,1746172.2,821277.44,20703.59,48.22,97.54,2.46,96156.9355,-362324.9293,1085941.5365,1102528.64
2021,Suriname,16382.0,15184.0433,15600.0,15169.8933,14.15,97.33,99.91,0.09,3205.1997,0.0,8572.7871,13969.76
2021,Uruguay,17622.0,2052.0,17502.0,849.0,1203.0,11.72,41.37,58.63,118.36,-1905.2,0.0,6536.5
2021,Venezuela,91205.0,46173.36,88205.0,44814.3,1359.06,52.35,97.06,2.94,5498.0148,957.7691,39891.3821,67867.14
